starttime	seconds	ctime	dtime	ttime	wait
Sun Sep 03 19:53:09 2023	1693741989	1	571	571	570
Sun Sep 03 19:53:06 2023	1693741986	0	571	572	571
Sun Sep 03 19:53:04 2023	1693741984	0	572	572	571
Sun Sep 03 19:53:03 2023	1693741983	0	571	572	571
Sun Sep 03 19:53:08 2023	1693741988	0	572	572	570
Sun Sep 03 19:53:02 2023	1693741982	1	570	572	570
Sun Sep 03 19:53:06 2023	1693741986	0	571	572	571
Sun Sep 03 19:52:59 2023	1693741979	0	572	572	570
Sun Sep 03 19:53:09 2023	1693741989	0	572	572	571
Sun Sep 03 19:53:03 2023	1693741983	0	572	572	571
Sun Sep 03 19:53:00 2023	1693741980	0	572	572	571
Sun Sep 03 19:53:06 2023	1693741986	0	572	572	571
Sun Sep 03 19:53:08 2023	1693741988	0	572	572	572
Sun Sep 03 19:53:06 2023	1693741986	0	572	572	565
Sun Sep 03 19:53:08 2023	1693741988	0	572	572	571
Sun Sep 03 19:53:02 2023	1693741982	0	572	572	572
Sun Sep 03 19:53:07 2023	1693741987	0	572	572	572
Sun Sep 03 19:52:59 2023	1693741979	0	572	572	572
Sun Sep 03 19:52:59 2023	1693741979	0	572	573	571
Sun Sep 03 19:53:07 2023	1693741987	0	573	573	572
Sun Sep 03 19:53:02 2023	1693741982	1	572	573	571
Sun Sep 03 19:53:06 2023	1693741986	0	573	573	572
Sun Sep 03 19:53:08 2023	1693741988	0	573	573	572
Sun Sep 03 19:53:07 2023	1693741987	0	573	573	572
Sun Sep 03 19:52:59 2023	1693741979	0	573	573	572
Sun Sep 03 19:53:07 2023	1693741987	0	573	573	572
Sun Sep 03 19:53:02 2023	1693741982	0	573	573	573
Sun Sep 03 19:53:01 2023	1693741981	1	573	573	572
Sun Sep 03 19:53:07 2023	1693741987	0	573	573	573
Sun Sep 03 19:53:02 2023	1693741982	0	573	573	572
Sun Sep 03 19:53:06 2023	1693741986	0	573	574	572
Sun Sep 03 19:53:06 2023	1693741986	0	574	574	573
Sun Sep 03 19:53:07 2023	1693741987	0	574	574	573
Sun Sep 03 19:53:04 2023	1693741984	0	574	574	573
Sun Sep 03 19:53:05 2023	1693741985	0	574	574	574
Sun Sep 03 19:53:04 2023	1693741984	0	574	574	573
Sun Sep 03 19:53:06 2023	1693741986	0	574	574	570
Sun Sep 03 19:53:02 2023	1693741982	0	574	574	574
Sun Sep 03 19:53:00 2023	1693741980	0	574	575	574
Sun Sep 03 19:53:07 2023	1693741987	1	574	575	573
Sun Sep 03 19:53:08 2023	1693741988	0	575	575	574
Sun Sep 03 19:53:02 2023	1693741982	0	575	575	574
Sun Sep 03 19:53:02 2023	1693741982	0	575	575	574
Sun Sep 03 19:53:07 2023	1693741987	0	575	575	574
Sun Sep 03 19:53:02 2023	1693741982	0	575	575	574
Sun Sep 03 19:52:59 2023	1693741979	0	575	575	574
Sun Sep 03 19:53:01 2023	1693741981	0	575	576	575
Sun Sep 03 19:53:05 2023	1693741985	0	576	576	574
