starttime	seconds	ctime	dtime	ttime	wait
Sun Sep 03 19:50:28 2023	1693741828	0	459	460	459
Sun Sep 03 19:50:30 2023	1693741830	0	460	460	459
Sun Sep 03 19:50:23 2023	1693741823	0	459	460	459
Sun Sep 03 19:50:24 2023	1693741824	0	460	460	459
Sun Sep 03 19:50:27 2023	1693741827	0	460	460	460
Sun Sep 03 19:50:24 2023	1693741824	0	460	460	459
Sun Sep 03 19:50:30 2023	1693741830	0	460	460	460
Sun Sep 03 19:50:24 2023	1693741824	0	460	460	460
Sun Sep 03 19:50:29 2023	1693741829	0	460	460	458
Sun Sep 03 19:50:31 2023	1693741831	0	460	461	460
Sun Sep 03 19:50:30 2023	1693741830	0	461	461	460
Sun Sep 03 19:50:30 2023	1693741830	0	461	461	461
Sun Sep 03 19:50:31 2023	1693741831	0	461	461	460
Sun Sep 03 19:50:24 2023	1693741824	0	461	461	461
Sun Sep 03 19:50:26 2023	1693741826	0	461	461	461
Sun Sep 03 19:50:26 2023	1693741826	0	461	461	461
Sun Sep 03 19:50:25 2023	1693741825	0	461	462	461
Sun Sep 03 19:50:29 2023	1693741829	0	461	462	461
Sun Sep 03 19:50:31 2023	1693741831	0	462	462	461
Sun Sep 03 19:50:24 2023	1693741824	0	462	462	461
Sun Sep 03 19:50:27 2023	1693741827	0	462	462	462
Sun Sep 03 19:50:30 2023	1693741830	0	462	462	462
Sun Sep 03 19:50:29 2023	1693741829	0	462	462	462
Sun Sep 03 19:50:31 2023	1693741831	0	462	462	461
Sun Sep 03 19:50:31 2023	1693741831	0	463	463	462
Sun Sep 03 19:50:24 2023	1693741824	0	463	463	462
Sun Sep 03 19:50:31 2023	1693741831	0	463	463	462
Sun Sep 03 19:50:26 2023	1693741826	0	463	463	462
Sun Sep 03 19:50:26 2023	1693741826	0	463	463	463
Sun Sep 03 19:50:30 2023	1693741830	0	463	463	463
Sun Sep 03 19:50:24 2023	1693741824	0	463	464	463
Sun Sep 03 19:50:25 2023	1693741825	0	463	464	463
Sun Sep 03 19:50:26 2023	1693741826	0	463	464	463
Sun Sep 03 19:50:24 2023	1693741824	0	464	464	463
Sun Sep 03 19:50:30 2023	1693741830	0	464	464	463
Sun Sep 03 19:50:30 2023	1693741830	0	464	464	463
Sun Sep 03 19:50:31 2023	1693741831	0	464	464	464
Sun Sep 03 19:50:26 2023	1693741826	0	464	464	464
Sun Sep 03 19:50:25 2023	1693741825	0	464	464	464
Sun Sep 03 19:50:29 2023	1693741829	0	464	464	464
Sun Sep 03 19:50:26 2023	1693741826	0	464	464	464
Sun Sep 03 19:50:30 2023	1693741830	0	464	465	464
Sun Sep 03 19:50:30 2023	1693741830	0	464	465	464
Sun Sep 03 19:50:25 2023	1693741825	0	464	465	464
Sun Sep 03 19:50:30 2023	1693741830	0	465	465	464
Sun Sep 03 19:50:30 2023	1693741830	1	464	465	464
Sun Sep 03 19:50:30 2023	1693741830	0	465	465	464
Sun Sep 03 19:50:28 2023	1693741828	0	465	465	464
Sun Sep 03 19:50:24 2023	1693741824	0	465	465	464
Sun Sep 03 19:50:28 2023	1693741828	0	465	465	464
Sun Sep 03 19:50:24 2023	1693741824	0	465	465	465
Sun Sep 03 19:50:30 2023	1693741830	0	465	465	465
Sun Sep 03 19:50:29 2023	1693741829	0	465	465	465
Sun Sep 03 19:50:30 2023	1693741830	0	465	466	465
Sun Sep 03 19:50:25 2023	1693741825	0	465	466	465
Sun Sep 03 19:50:25 2023	1693741825	0	465	466	465
Sun Sep 03 19:50:27 2023	1693741827	0	466	466	465
Sun Sep 03 19:50:26 2023	1693741826	0	466	466	465
Sun Sep 03 19:50:29 2023	1693741829	1	465	466	465
Sun Sep 03 19:50:26 2023	1693741826	0	466	466	465
Sun Sep 03 19:50:30 2023	1693741830	0	466	466	466
Sun Sep 03 19:50:25 2023	1693741825	0	466	466	465
Sun Sep 03 19:50:31 2023	1693741831	1	466	466	465
Sun Sep 03 19:50:26 2023	1693741826	0	466	466	466
Sun Sep 03 19:50:29 2023	1693741829	0	466	467	466
Sun Sep 03 19:50:26 2023	1693741826	0	466	467	465
Sun Sep 03 19:50:22 2023	1693741822	3	464	467	463
Sun Sep 03 19:50:31 2023	1693741831	0	467	467	466
Sun Sep 03 19:50:30 2023	1693741830	0	467	467	466
Sun Sep 03 19:50:29 2023	1693741829	0	467	467	466
Sun Sep 03 19:50:30 2023	1693741830	0	467	467	466
Sun Sep 03 19:50:25 2023	1693741825	0	467	467	466
Sun Sep 03 19:50:31 2023	1693741831	0	467	467	467
Sun Sep 03 19:50:27 2023	1693741827	0	467	467	467
Sun Sep 03 19:50:28 2023	1693741828	0	467	467	467
Sun Sep 03 19:50:26 2023	1693741826	0	467	467	467
Sun Sep 03 19:50:26 2023	1693741826	0	467	467	467
Sun Sep 03 19:50:30 2023	1693741830	0	467	467	466
Sun Sep 03 19:50:28 2023	1693741828	0	467	467	467
Sun Sep 03 19:50:30 2023	1693741830	0	467	467	467
Sun Sep 03 19:50:24 2023	1693741824	0	467	468	467
Sun Sep 03 19:50:26 2023	1693741826	0	468	468	467
Sun Sep 03 19:50:31 2023	1693741831	0	468	468	467
Sun Sep 03 19:50:26 2023	1693741826	0	468	468	467
Sun Sep 03 19:50:30 2023	1693741830	0	468	468	467
Sun Sep 03 19:50:24 2023	1693741824	0	468	468	467
Sun Sep 03 19:50:31 2023	1693741831	0	468	468	467
Sun Sep 03 19:50:26 2023	1693741826	0	468	468	467
Sun Sep 03 19:50:26 2023	1693741826	0	468	468	467
Sun Sep 03 19:50:30 2023	1693741830	0	468	468	467
Sun Sep 03 19:50:31 2023	1693741831	0	468	468	466
Sun Sep 03 19:50:24 2023	1693741824	0	468	468	467
Sun Sep 03 19:50:31 2023	1693741831	0	468	468	467
Sun Sep 03 19:50:26 2023	1693741826	0	468	468	468
Sun Sep 03 19:50:22 2023	1693741822	3	466	468	465
Sun Sep 03 19:50:30 2023	1693741830	1	467	469	467
Sun Sep 03 19:50:30 2023	1693741830	0	468	469	468
Sun Sep 03 19:50:24 2023	1693741824	0	468	469	468
Sun Sep 03 19:50:24 2023	1693741824	0	469	469	468
Sun Sep 03 19:50:28 2023	1693741828	0	469	469	468
Sun Sep 03 19:50:26 2023	1693741826	0	469	469	468
Sun Sep 03 19:50:29 2023	1693741829	0	469	469	468
Sun Sep 03 19:50:26 2023	1693741826	0	469	469	468
Sun Sep 03 19:50:27 2023	1693741827	0	469	469	469
Sun Sep 03 19:50:31 2023	1693741831	0	469	469	468
Sun Sep 03 19:50:30 2023	1693741830	0	469	469	468
Sun Sep 03 19:50:30 2023	1693741830	0	469	469	469
Sun Sep 03 19:50:25 2023	1693741825	0	469	469	469
Sun Sep 03 19:50:30 2023	1693741830	0	469	469	469
Sun Sep 03 19:50:25 2023	1693741825	0	469	469	469
Sun Sep 03 19:50:30 2023	1693741830	0	469	469	469
Sun Sep 03 19:50:26 2023	1693741826	0	469	470	469
Sun Sep 03 19:50:24 2023	1693741824	0	469	470	469
Sun Sep 03 19:50:31 2023	1693741831	0	469	470	469
Sun Sep 03 19:50:27 2023	1693741827	0	470	470	469
Sun Sep 03 19:50:24 2023	1693741824	0	470	470	469
Sun Sep 03 19:50:25 2023	1693741825	0	470	470	469
Sun Sep 03 19:50:28 2023	1693741828	0	470	470	470
Sun Sep 03 19:50:26 2023	1693741826	0	470	470	468
Sun Sep 03 19:50:26 2023	1693741826	0	470	470	469
Sun Sep 03 19:50:31 2023	1693741831	1	470	470	469
Sun Sep 03 19:50:31 2023	1693741831	0	470	470	469
Sun Sep 03 19:50:25 2023	1693741825	0	470	470	470
Sun Sep 03 19:50:24 2023	1693741824	0	470	470	470
Sun Sep 03 19:50:31 2023	1693741831	0	470	470	470
Sun Sep 03 19:50:26 2023	1693741826	0	470	470	470
Sun Sep 03 19:50:24 2023	1693741824	0	470	471	469
Sun Sep 03 19:50:31 2023	1693741831	0	470	471	470
Sun Sep 03 19:50:28 2023	1693741828	0	470	471	470
Sun Sep 03 19:50:24 2023	1693741824	1	470	471	469
Sun Sep 03 19:50:26 2023	1693741826	0	471	471	470
Sun Sep 03 19:50:29 2023	1693741829	0	471	471	471
Sun Sep 03 19:50:27 2023	1693741827	0	471	471	470
Sun Sep 03 19:50:25 2023	1693741825	0	471	471	470
Sun Sep 03 19:50:23 2023	1693741823	0	471	471	470
Sun Sep 03 19:50:26 2023	1693741826	0	471	471	471
Sun Sep 03 19:50:30 2023	1693741830	0	471	471	470
Sun Sep 03 19:50:25 2023	1693741825	0	471	471	471
Sun Sep 03 19:50:26 2023	1693741826	0	471	471	471
Sun Sep 03 19:50:26 2023	1693741826	0	471	471	471
Sun Sep 03 19:50:24 2023	1693741824	0	471	472	471
Sun Sep 03 19:50:31 2023	1693741831	0	471	472	471
Sun Sep 03 19:50:28 2023	1693741828	0	471	472	471
Sun Sep 03 19:50:27 2023	1693741827	0	471	472	471
Sun Sep 03 19:50:27 2023	1693741827	0	471	472	471
Sun Sep 03 19:50:25 2023	1693741825	0	471	472	470
Sun Sep 03 19:50:23 2023	1693741823	0	472	472	470
Sun Sep 03 19:50:27 2023	1693741827	0	472	472	471
Sun Sep 03 19:50:26 2023	1693741826	0	472	472	471
Sun Sep 03 19:50:31 2023	1693741831	0	472	472	471
Sun Sep 03 19:50:28 2023	1693741828	0	472	472	472
Sun Sep 03 19:50:30 2023	1693741830	0	472	473	472
Sun Sep 03 19:50:30 2023	1693741830	0	472	473	472
Sun Sep 03 19:50:27 2023	1693741827	0	473	473	472
Sun Sep 03 19:50:26 2023	1693741826	0	473	473	473
Sun Sep 03 19:50:27 2023	1693741827	0	473	474	472
Sun Sep 03 19:50:28 2023	1693741828	0	474	474	473
Sun Sep 03 19:50:25 2023	1693741825	0	473	474	473
Sun Sep 03 19:50:24 2023	1693741824	0	474	474	473
Sun Sep 03 19:50:27 2023	1693741827	0	474	474	473
Sun Sep 03 19:50:27 2023	1693741827	0	474	474	473
Sun Sep 03 19:50:31 2023	1693741831	0	474	474	474
Sun Sep 03 19:50:26 2023	1693741826	0	474	474	474
Sun Sep 03 19:50:31 2023	1693741831	0	474	474	474
Sun Sep 03 19:50:27 2023	1693741827	1	474	475	474
Sun Sep 03 19:50:31 2023	1693741831	0	475	475	474
Sun Sep 03 19:50:28 2023	1693741828	1	474	475	474
Sun Sep 03 19:50:26 2023	1693741826	0	475	475	475
Sun Sep 03 19:50:22 2023	1693741822	3	472	475	472
Sun Sep 03 19:50:27 2023	1693741827	0	475	475	474
Sun Sep 03 19:50:26 2023	1693741826	0	475	475	474
Sun Sep 03 19:50:26 2023	1693741826	0	475	475	475
